id,Plants,Diseases,Symptoms,Cause,How it started,Tips
Orange___Haunglongbing_(Citrus_greening),Orange,Haunglongbing (Citrus greening),"Leaf symptoms of citrus greening include yellowing of one limb or one area of canopy, yellowing of leaf veins; 
blotchy mottling and/or green islands (spots) surrounded by completely yellow leaf tissue; 
twig and limbs begin to die back; 
fruits may drop prematurely and are often mishappen and lopsided; 
fruit has a bitter, salty taste.",Bacteria,"Huanglongbing has a complex pathosystem (an ecosystem based on parasitism).
There are multiple strains, diverse hosts, several insect vectors, and different environmental conditions that affect the expression and spread of the disease.
Three forms of the disease are known (Asian, African, and American), and these are associated with different species and strains of Liberibactors that are disseminated by different species of citrus psyllid insect vectors.
The pathogen currently found in the US is Candidatus Liberibacter asiaticus.
Most citrus species, cultivars, and hybrids are susceptible to the disease.
Vectors of the Liberibacters include citrus psyllids Diaphorina citri and Trioza erytreae.
Huanglongbing can also be spread by grafting.
Transmission can occur in the nursery and in the orchard.
Non-citrus hosts have been identified as alternate hosts for the Liberibacters and the citrus psyllids, but their role is still unclear in the epidemiology of the disease.","(i) Cultural control Once a tree becomes infected with HLB, it cannot be cured.
    Control is therefore reliant on preventing the disease occurring in the first place and this is achieved through strict quarantining to prevent the introduction of citrus psyllids to areas which are currently free of the pest.
    Areas which are subject to quarantine have restrictions placed on the movement of citrus plants, fruit, equipment and items made from citrus.
    Infected trees should be removed as quickly as possible from plantations and destroyed.
    Identification of infected trees should be achieved through several surveys to ensure that infected trees which are not yet showing symptoms are identified.
    In Florida, the recommendation is to scout groves at least 4 times a year for disease symptoms.

(ii) Control of citrus psyllids Citrus psyllid populations can be controlled through the application of chemical sprays.
     Insecticides have proved very effective at controlling T. erytreae in South Africa where systemic insecticides are applied to the tree at the base of the trunk."
Peach___Bacterial_spot,Peach,Bacterial spot,"Water soaked, angular gray lesions on the underside of the leaves which turn purple and necrotic in the center and cause a shot hole appearance if lesion center drops out;
if lesions are present in high numbers on leaves they may become chlorotic and drop from tree;
cankers develop on twigs either as raised blisters or as a dark area surrounding a bud that fails to open;
in years of severe infection the entire fruit crop may be lost;
lesions on fruit begin as small brown, water-soaked lesions which may exude gum.",Bacteria,"Periods of frequent rainfall during late bloom and early petal drop increase likelihood of fruit and leaf infection;
infection is rare during hot, dry weather.","Avoid planting susceptible peach varieties in areas where disease is known;
once disease is visible it can be difficult to control, protective copper applications in the Fall prior to leaf drop and/or application in early growing season may help prevent the disease;
care should be taken as peach trees are very sensitive to copper."
"Pepper,_bell___Bacterial_spot","Pepper,_bell",Bacterial spot,"Water-soaked lesions that dry out and turn brown forming on the underside of the leaves;
raised brown cankers on stems;
cracked brown lesions on fruit.",Bacteria,"Disease emergence favored by warm, wet conditions;
the pathogen can be enter a field on seed and transplants and can be spread within a field by wind-driven rain, clipping plants and aerosols.","Use disease free planting material;
remove and destroy all crop debris after harvest, or plow material deeply under soil."
Potato___Early_blight,Potato,Early blight,"Dark lesions with yellow border which may form concentric rings of raised and sunken tissue on the leaves and stems;
lesions initially circular but become angular;
leaves become necrotic but remain attached to plant;
dark, dry lesions on tubers with leathery or corky texture and watery yellowy green margins.",Fungus,Disease emergence favors cycles of wet and dry conditions with periods of high humidity and leaf wetness.,"Application of appropriate protective fungicide can reduce severity of foliar symptoms;
reduce stress to plants by fertilizing and watering adequately;
plant late varieties which are less susceptible to disease;
store tubers in cool environment."
Potato___Late_blight,Potato,Late blight,"Irregularly shaped spreading brown lesions on leaves with distinctive white fluffy sporulation at lesion margins on the underside of the leaf in wet conditions.
In dry condition the lesions dry up and go dark brown with collapsed tissue;
water-soaked dark green to brown lesions on stems also with characteristic white sporulation;
later in infection leaves and petioles completely rotted;
severely affected plants may have an slightly sweet distinctive odor;
red-brown firm lesions on tubers extending several centimeters into tissue;
lesions may be slightly sunken in appearance and often lead to secondary bacterial rots.",Oomycete,"The pathogen can survive for several months to years in the soil;
emergence of disease favored by moist, cool conditions;
major cause of disease spread is infected tubers.","Control depends on a multifaceted approach with importance of certain practices changing based on geographic location: destroy infected tubers;
destroy any volunteer plants;
application of appropriate fungicide to potato hills at emergence;
time watering to reduce periods of leaf wetness e.g. water early to allow plant to dry off during the day;
plant resistant varieties;
apply appropriate protective fungicide if disease is forecast in area."
Squash___Powdery_mildew,Squash,Powdery mildew,"White powdery growth on the upper surfaces of leaves and stems;
infected areas stunted and distorted.",Fungus,Disease emergence favored by dry weather and high relative humidity.,"Plant in sites with good air circulation and sun exposure;
do not overcrowd plants;
sanitize equipment regularly."
Strawberry___Leaf_scorch,Strawberry,Leaf scorch,"Irregular dark purple or brown blotches on upper leaf surface which may colaesce to produce large purplish brown patches;
tissue between blotches may turn purple or red;
lesions may also develop on flowers and fruits;
affected petals may wither and drop from plant;
lesions may girdle peduncles causing death of fruit.",Fungus,Disease emergence favored by wet foliage for extended periods of time.,"Plant resistant varieties;
regular renewal of plants;
plant in an area with good air circulation and drainage in full sun;
remove all foliage from plants at harvest;
application of appropriate foliar fungicide may be required to provide control."
Tomato___Bacterial_spot,Tomato,Bacterial spot,"Bacterial spot lesions starts out as small water-soaked spots;
lesions become more numerous and coalesce to form necrotic areas on the leaves giving them a blighted appearance;
of leaves drop from the plant severe defoliation can occur leaving the fruit susceptible to sunscald;
mature spots have a greasy appearance and may appear transparent when held up to light;
centers of lesions dry up and fall out of the leaf;
blighted leaves often remain attached to the plant and give it a blighted appearance;
fruit infections start as a slightly raised blister;
lesions may have a faint halo which eventually disappears;
lesions on fruit may have a raised margin and sunken center which gives the fruit a scabby appearance.",Bacteria,"Bacteria survive on crop debris;
disease emergence favored by warm temperatures and wet weather;
symptoms are very similar to other tomato diseases but only bacterial spot will cause a cut leaf to ooze bacterial exudate;
the disease is spread by infected seed, wind-driven rain, diseased transplants, or infested soil;
bacteria enter the plant through any natural openings on the leaves or any openings caused by injury to the leaves.","Use only certified seed and healthy transplants;
remove all crop debris from planting area;
do not use sprinkler irrigation, instead water from base of plant;
rotate crops."
Tomato___Early_blight,Tomato,Early blight,"Early blight symptoms start as oval shaped lesions with a yellow chlorotic region across the lesion; 
concentric leaf lesions may be seen on infected leaves;
leaf tissue between veins is destroyed; 
severe infections can cause leaves to completely collapse; 
as the disease progresses leaves become severely blighted leading to reduced yield; 
tomato stems may become infected with the fungus leading to Alternaria stem canker;
initial symptoms of of stem canker are the development of dark brown regions on the stem; 
stem cankers may enlarge to girdle the whole stem resulting in the death of the whole plant; 
brown streaks can be found in the vascular tissue above and below the canker region; 
fruit symptoms include small black v-shaped lesions at the shoulders of the fruit (the disease is also known black shoulder); 
lesions may also appear on the fruit as dark flecks with concentric ring pattern; 
fruit lesions can seen in the field or may develop during fruit transit to the market; 
the lesions may have a velvety appearance caused by sporulation of the fungus.",Fungus,"Disease can spread rapidly after plants have set fruit;
movement of air-borne spores and contact with infested soil are causes for the spread of the disease.","Apply appropriate fungicide at first sign of disease;
destroy any volunteer solanaceous plants (tomato, potato, nightshade etc);
practice crop rotation."
Tomato___Leaf_Mold,Tomato,Leaf Mold,"The older leaves exhibit pale greenish to yellow spots (without distinguishable margins) on upper surface.
Whereas the lower portion of this spots exhibit green to brown velvety fungal growth.
As the disease progress the spots may coalesce and appear brown.
The infected leaves become wither and die but stay attached to the plant.
The fungus also infects flowers and fruits.
The affected flowers become black and drop off.
The affected fruit intially shows smooth black irregular area on the stem end but later it becomes sunken, leathery and dry.",Fungus,"The disease is favored by high relative humidity.
Also a common disease in green house tomato crop.","Grow available resistant varieties.
Avoid leaf wetting and overhead application of water.
Follow proper spacing to provide good air circulation around the plants.
Remove the infected plant debris and burn them.
If the disease is severe scary suitable fungicide."
Tomato___Late_blight,Tomato,Late blight,"Late blight affects all aerial parts of the tomato plant;
initial symptoms of the disease appear as water-soaked green to black areas on leaves which rapidly change to brown lesions;
fluffy white fungal growth may appear on infected areas and leaf undersides during wet weather;
as the disease progresses, foliage becomes becomes shriveled and brown and the entire plant may die;
fruit lesions start as irregularly shaped water soaked regions and change to greasy spots;
entire fruit may become infected and a white fuzzy growth may appear during wet weather.",Oomycete,Can devastate tomato plantings.,"Plant resistant varieties;
if signs of disease are present or if rainy conditions are likely or if using overhead irrigation appropriate fungicides should be applied."
Tomato___Septoria_leaf_spot,Tomato,Septoria leaf spot,"Symptoms may occur at any stage of tomato development and begin as small, water-soaked spots or circular grayish-white spots on the underside of older leaves;
spots have a grayish center and a dark margin and they may colasece;
fungal fruiting bodies are visible as tiny black specks in the center of spot;
spots may also appear on stems, fruit calyxes, and flowers.",Fungus,"Spread by water splash;
fungus overwinters in plant debris.","Ensure all tomato crop debris is removed and destroyed in Fall or plowed deep into soil;
plant only disease-free material;
avoid overhead irrigation;
stake plants to increase air circulation through the foliage;
apply appropriate fungicide if necessary."
Tomato___Spider_mites_Two-spotted_spider_mite,Tomato,Spider mites Two-spotted spider mite,"Leaves stippled with yellow;
leaves may appear bronzed;
webbing covering leaves;
mites may be visible as tiny moving dots on the webs or underside of leaves, best viewed using a hand lens;
usually not spotted until there are visible symptoms on the plant;
leaves turn yellow and may drop from plant.",Arachnid,"Spider mites thrive in dusty conditions;
water-stressed plants are more susceptible to attack.","In the home garden, spraying plants with a strong jet of water can help reduce buildup of spider mite populations;
if mites become problematic apply insecticidal soap to plants;
certain chemical insecticides may actually increase mite populations by killing off natural enemies and promoting mite reproduction."
Tomato___Target_Spot,Tomato,Target Spot,"The fungus infects all parts of plant.
Infected leaves shows small, pinpoint, water soaked spots initially.
As the disease progress the spots enlarge to become necrotic lesions with conspicuous concentric circles, dark margins and light brown centers.
Whereas the fruits exhibit brown, slightly sunken flecks in the beginning but later the lesions become large pitted appearance.",Fungus,"The pathogen infects cucumber, pawpaw , ornamental plants, some weed species etc.
The damaged fruits are susceptible for this disease.","Remove the plant debris and burn them.
Avoid over application of nitrogen fertilizer.
If the disease is severe spray suitable fungicides."
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato,Tomato Yellow Leaf Curl Virus,"The infected leaves become reduced in size, curl upward, appear crumpled and show yellowing of veins and leaf margins.
The internodes become shorter and whole plant appear stunted and bushy.
The whole plant stand erect with only upright growth.
The flowers may not develop and drop off.",Virus,"The virus is transmitted by white flies and may cause 100 % yield loss if the plants infect at early stage of crop.
The virus also infect other hosts like common bean, ornamental plants and several weed species.","Grow available resistant varieties.
Transplant only disease and whiteflies free seedlings.
Remove the infected plants and burn them.
Keep the field free from weeds.
Use yellow sticky traps to monitor and control whiteflies.
If the insect infestation is severe spray suitable insecticides."
Tomato___Tomato_mosaic_virus,Tomato,Tomato mosaic virus,"Symptoms can occur at any growth stage and any part of the plant can be affected;
infected leaves generally exhibit a dark green mottling or mosaic;
some strains of the virus can cause yellow mottling on the leaves;
young leaves may be stunted or distorted;
severely infected leaves may have raised green areas;
fruit yields are reduced in infected plants;
green fruit may have yellow blotches or necrotic spots;
dark necrotic streaks may appear on the stems, petioles leaves and fruit.",Virus,"ToMV is a closely related strain of Tobacco mosaic virus (TMV), it enters fields via infected weeds, peppers or potato plants;
the virus may also be transmitted to tomato fields by grasshoppers, small mammals and birds.","Plant varieties that are resistant to the virus;
heat treating seeds at 70°C (158°F) for 4 days or at 82–85°C (179.6–185°F) for 24 hours will help to eliminate any virus particles on the surface of the seeds;
soaking seed for 15 min in 100 g/l of tri-sodium phosphate solution (TSP) can also eliminate virus particles - seeds should be rinsed thoroughly and laid out to dry after this treatment;
if the virus is confirmed in the field, infected plants should be removed and destroyed to limit further spread;
plant tomato on a 2-year rotation, avoiding susceptible crops such as peppers, eggplant, cucurbits and tobacco;
disinfect all equipment when moving from infected areas of the field."
