id,Plants,Diseases,Content,overview,code
Corn_(maize)___Cercospora_leaf_spot_Gray_leaf_spot,Corn_(maize),Cercospora leaf spot (Gray),"## Overview
 It survives in plant residues in the soil for long periods of time.
During the spring, the spores are carried onto the lower leaves by rain splashes and wind.
Its lifecycle is favored by elevated temperatures (25 to 30Â°C), high humidity (dews, fogs), and leaf wetness for prolonged periods of time.
Hot, dry weather hinders its development.
Symptoms vary slightly between different plant varieties.
The fungus completes its lifecycle (from infection to the production of new spores) in 14-21 days in a susceptible variety and in 21-28 days in a resistant one.  
## Symptoms 
 Small necrotic (brown or tan) spots that may have a yellow chlorotic halo appear on lower leaves, usually before flowering. 
Gradually these lesions will turn grayish and appear on younger leaves, too. 
As the disease progresses, they enlarge into elongated, rectangular lesions that run parallel to the leaf veins. 
In optimal conditions (warm temperatures, high humidity and wet leaves), they can coalesce and engulf the whole leaf. 
If this happens before grain filling there can be considerable yield losses. 
The leaf blight can weaken the plants and sometimes soften the stalks, leading to lodging. 
## Cause 
 Fungus Cercospora zeae-maydis 
## Tips 
 * Always consider an integrated approach with preventive measures and biological treatments if available.
* Foliar fungicide treatment is a way to manage the disease if it occurs at its early stages, but it has to be weighed against the weather conditions, the potential yield loss, and the susceptibility of the plant.
* Fungicides containing pyraclostrobin and strobilurin, or combinations of azoxystrobin and propiconazole, prothioconazole, and trifloxystrobin work well to control the fungus. 
","It survives in plant residues in the soil for long periods of time.",rady
Corn_(maize)___Common_rust_,Corn_(maize),Common rust ,"## Overview 
 The disease is spread by wind-borne spores.
Some of the most popularly grown sweet corn varieties have little or no resistance to the disease. 
## Symptoms 
 Oval or elongated cinnamon brown pustules on upper and lower surfaces of leaves;
pustules rupture and release powdery red spores;
pustules turn dark brown-black as they mature and release dark brown powdery spores;
if infection is severe, pustules may appear on tassels and ears and leaves may begin to yellow;
in partially resistant corn hybrids, symptoms appear as chlorotic or necrotic flecks on the leaves which release little or no spore. 
## Cause 
 Fungus Puccinia sorghi 
## Tips 
 * The most effective method of controlling the disease is to plant resistant hybrids.
* The application of appropriate fungicides may provide some degree of control and reduce disease severity.
* Fungicides are more effective when the amount of secondary inoculum is still low, generally when plants only have a few rust pustules per leaf. 
","The disease is spread by wind-borne spores.
Some of the most popularly grown sweet corn varieties have little or no resistance to the disease.",rady
Corn_(maize)___Northern_Leaf_Blight,Corn_(maize),Northern Leaf Blight,"## Overview 
 The disease mainly spreads through rain splash and wind. 
## Symptoms 
 In the beginning we will notice elliptical gray-green lesions on leaves.
As the disease process this lesions become pale gray to tan color.
Later stage the lesions looks dirty due to dark gray spores particularly under lower leaf surface.
The disease can be easily identified in the field due to its long, narrow lesions which are unrestricted by veins. 
## Cause 
 Fungus Exserohilum turcicum 
## Tips 
 * Follow proper tillage to reduce fungus inoculum from crop debris.
* Follow crop rotation with non-host crops.
* Grow available resistant varieties.
* In severe cases of disease incidence, apply a suitable fungicide. 
",The disease mainly spreads through rain splash and wind.,rady
Cotton___Aphids,Cotton,Aphids,"## Overview 
 Cotton aphid leaf disease starts when cotton aphids (Aphis gossypii and Aphis craccivora) infest cotton plants and begin to feed on the sap of the leaves. As the aphids feed, they secrete a sticky substance called honeydew, which can attract other pests and fungal diseases, including sooty mold. The honeydew can also cover the leaves, reducing their photosynthetic capacity and leading to reduced plant growth and yield. 
## Symptoms 
 * Stunted growth: Infested cotton plants may exhibit stunted growth and reduced vigor.
* Yellowing leaves: The leaves of infested cotton plants may turn yellow and become distorted.
* Leaf curling: The leaves of infested cotton plants may curl and become deformed.
* Honeydew: Cotton aphids excrete a sticky substance called honeydew, which can accumulate on the leaves and stems of the plant.
* Sooty mold: The honeydew excreted by cotton aphids can also lead to the growth of a black, sooty mold on the leaves and stems of the plant.
* Reduced yield: In severe cases, cotton aphids can significantly reduce the yield and quality of cotton crops. 
## Cause 
 Aphid Species (including Aphis gossypii, Aphis craccivora) 
## Tips 
 * Consult industry Insecticide Resistance Management Strategies because it is important not to rely on insecticides alone.
* Aphid levels should be monitored at least weekly from seedling emergence through to defoliation.
* Controlling brassica weeds and other hosts such as marshmallows, capeweed and thistles between seasons will help reduce aphid pressure. 
* Cotton aphid populations build rapidly as spring temperatures increase. At this time, beneficial insects can play a very important role in suppressing aphid populations, so it is important to consider their populations too when assessing aphid spray thresholds.
* In addition to beneficial numbers, consider the current growing conditions. If crops have good growing conditions at the time of infestation (i.e., good soil moisture), they are more likely to be able to compensate for aphid damage compared to moisture stressed plants. 
","Cotton aphid leaf disease starts when cotton aphids begin to feed on the sap of the leaves.",rady
Cotton___Bacterial blight,Cotton,Bacterial blight,"## Overview 
 Cotton bacterial blight leaf disease starts when the bacterium, Xanthomonas campestris pv. malvacearum, infects cotton plants through natural openings or wounds on the leaves. The bacteria can survive in plant debris and soil for several years and can be transmitted through contaminated seed, equipment, or water. The disease can also be spread by wind, rain, or insect vectors.
Once the bacteria infect a cotton plant, they can cause water-soaked lesions that later turn brown or black. The lesions can spread rapidly, leading to defoliation of the plant and reduced yield. Warm and humid weather conditions can promote the spread of the disease. 
## Symptoms 
 * Water-soaked lesions: The symptoms of the disease start as small, water-soaked lesions on the leaves, stems, and bolls of the cotton plant.
* Lesion expansion: As the disease progresses, the lesions expand and become angular in shape, with a yellow halo around them.
* Leaf drop: Infected leaves may drop prematurely, leading to the defoliation of the plant.
* Reduced yield: In severe cases, bacterial blight can lead to significant yield losses and reduced fiber quality.
* Shoot dieback: The disease can also cause shoot dieback and blackening of the stem.
* Wilting: Infected plants may wilt and die prematurely. 
## Cause 
 Xanthomonas Bacteria 
## Tips 
 * Diseased plant debris should be removed and burnt.
* Deep ploughing after harvest helps reduce disease incidence.
* Crop rotation, late sowing, early thinning, good tillage, early irrigation, and adding potash to soil help reduce disease incidence.
* Since the bacteria inhabit seeds internally or externally, seed treatment is an effective means to control the disease. 
* Bacteria occurring externally on seeds can be destroyed by immersing seeds in sulphuric acid for 10-15 minutes, then rinsing thoroughly by suspending them in water to remove acid, drying, and finally treating with Agrosan GN, Ceresan, etc. To remove bacteria lying inside the seeds, the use of antibiotics is recommended. Seeds may be soaked overnight in 1000 ppm of streptomycin for the purpose.
The use of resistant varieties is the best and most effective control measure. Some of them are – HC 9, BJA 592, Reba-B 50, Badnawar-I, K-4005, DHY 286, Khandawa-2, 70 IH- 480/3, and so on. 
","The disease can be spread by wind, rain, or insect vectors.",rady
Cotton___Powdery mildew,Cotton,Powdery mildew,"## Overview 
 Plants infected with powdery mildew look as if they have been dusted with flour.
Powdery mildew usually starts off as circular, powdery white spots, which can appear on leaves, stems, and sometimes fruit.
Powdery mildew usually covers the upper part of the leaves but may grow on the undersides as well.
Young foliage is most susceptible to damage. Leaves turn yellow and dry out.
The fungus might cause some leaves to twist, break, or become disfigured.
The white spots of powdery mildew will spread to cover most of the leaves or affected areas.
The leaves, buds, and growing tips will become disfigured as well. These symptoms usually appear late in the growing season.  
## Symptoms 
 * White powdery spots: The disease typically starts as small, white powdery spots on the leaves, stems, and bolls of the cotton plant.
* Leaf distortion: As the disease progresses, the affected leaves may become distorted, curled, or twisted.
* Stunted growth: Infected cotton plants may exhibit stunted growth and reduced vigor.
* Reduced yield: In severe cases, powdery mildew can significantly reduce the yield and quality of cotton crops.
* Premature defoliation: Infected leaves may drop prematurely, leading to defoliation of the plant.
* The stem blackening: In some cases, the stem of the infected plant may become blackened. 
## Cause 
 Fungus ( the Oidium gossypii ) 
## Tips 
 * Once plants are heavily infected, it’s very difficult to get rid of the disease, so focus on preventing it from spreading to other plants. 
* Remove all infected foliage, stems, and fruit and destroy them, either by throwing them in the trash or by burning. 
* Do not compost any infected plant, as the disease can still be spread by the wind and persist in the composted materials.
* After pruning off infected parts, do not allow pruning shears to touch healthy leaves. First sterilize your pruners with rubbing alcohol.
 
","Plants infected with powdery mildew look as if they have been dusted with flour.",rady
Cotton___Target spot,Cotton,Target spot,"## Overview 
 The disease affects mainly older leaves of mature plants. Reddish lesions will appear on these leaves during the early stages of the infection. As the disease progresses, the lesions enlarge and turn white to light brown or gray in the center with a purple, dark brown or blackish margin. The lesions are circular or irregular in shape and vary in size depending on the time of infection. A concentric zonation of the spots occurs, alternating dark and light brown or red margins. Affected leaves eventually become pale in color and finally fall off.  
## Symptoms 
 * Circular spots: The disease typically starts as small, circular spots on the leaves of the cotton plant.
* Brown lesions: As the disease progresses, the spots may turn brown and develop a target-like appearance, with concentric rings of light and dark brown.
* Leaf drop: Infected leaves may drop prematurely, leading to defoliation of the plant.
* Reduced yield: In severe cases, target spot disease can significantly reduce the yield and quality of cotton crops.
* Stem cankers: The disease can also cause cankers or lesions on the stem of the cotton plant.
* Boll rot: In some cases, target spot disease can lead to boll rot and reduced fiber quality. 
## Cause 
 Fungus ( Corynespora cassiicola ) 
## Tips 
 Rotate to a non-host such as corn if possible.
Plant multiple, high-yielding, stable-performing varieties adapted to the field environment. Although differences in variety susceptibility have been noted, the highest yielding varieties in a given trial have also occasionally been characterized by the highest disease ratings and greatest percent defoliation.
Properly apply nitrogen and plant growth regulators to produce sufficient vegetative growth to support fruiting bodies without allowing the plant to become rank.
When considering fungicide applications, keep in mind that while two applications of fungicide have consistently reduced disease and defoliation due to target spot, yield responses have been variable in Tennessee. 
","The disease affects mainly older leaves of mature plants. ",rady
Guava___Die Back,Guava,Die Back,"## Overview 
 The plant begins to die backwards form the top of a branch.
## Symptoms 
 *	Die back phase: The plant begins to die backward from the top of a branch.
 *	Young shoots, leaves, and fruits are readily attached, while they are still tender. The greenish color of the growing tip is changed to dark brown and later to black necrotic areas extending backward.
 *	The fungus develops from the infected twigs and then petiole and young leaves which may drop down or fall leaving the dried twigs without leaves.
 *	Fruit and leaf infection phase: Fruit and leaf infection is generally seen during rainy season crops. Pin-head spots are first seen on unripe fruits, which gradually enlarge.
 *	Spots are dark brown in color, sunken, circular, and have minute black stromata in the center of the lesion, which produce creamy spore masses in moist weather.
 *	Several spots coalesce to form bigger lesions.
 *	The infected area on unripe fruits becomes corky and hardy and often develops cracks in case of severe infection.
 *	Unopened buds and flowers are also affected which causes their shedding.
 *	On leaves, the fungus causes necrotic lesions usually ashy grey, and bear fruiting bodies at the tip or on the margin.

## Cause 
 Fungus Botryosphaeriaceae 
## Tips 
 *	Mark diseased wood and remove branches or entire vines. 
 *	Prune later in the dormant period to avoid the peak of spore production.
 *	Extra irrigation may help manage symptom severity but avoid overhead irrigation.
",The plant begins to die backwards form the top of a branch.,rady
Grape___Black_rot,Grapes,Black rot,"## Overview 
 The disease favors rainy weather; spores may ooze out during rain. 
## Symptoms 
 Brown lesions on the leaves that develop black dots (pycnidia); 
grapes have light spots that eventually form pycnidia; 
grapes harden and turn black, while still remaining on the vine. 
## Cause 
 Fungus Botryosphaeria obtusa
## Tips 
 Remove all mummified fruit from vines during dormant pruning;
cultivate soil during bud break to bury mummies and reduce inoculant;
application of appropriate fungicides can help control the disease. 
",The disease favors rainy weather; spores may ooze out during rain.,rady
Grape___Esca_(Black_Measles),Grapes,Esca (Black Measles),"## Overview 
 The leaf and berry symptoms may occur together in a single cane or may show symptoms on only one part.
The severe infestation of measles kills the grapevine in a single year which is commonly called apoplexy.
The symptoms are common in 5 to 7-year-old vineyards.
The prune wounds helps in pathogen entrance and establishment. 
## Symptoms 
 Symptom appears on leaves, trunk, canes and berries. 
On leaves we will see intervenaial striping looks like tiger strips. 
White cultivars shows chlorotic and necrotic strips where as red cultivars shows red areas and necrotic strips. 
On berries we will see superficial spots and later may coalesce making berries appear black. 
Trunk/arm/cordons shows dark brown black vascular streaking and oozes dark sap when we cut trunk. 
Some time this measles in associate with numerous secondary wood rotting fungi which decorate the vineyard completely. 
## Cause 
 Fungus 
## Tips 
 Till date there is no effective method to control this disease.
Remove the infected berries, leaves and trunk and destroy them.
Protect the prune wounds to minimize fungal infection using wound sealant (5% boric acid in acrylic paint) or essential oil or suitable fungicides. 
",The severe infestation of measles kills the grapevine in a single year.,rady
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grapes,Leaf blight (Isariopsis Leaf Spot),"## Overview 
 Common in tropical and subtropical grapes.
The disease appear late in the season.
Cynthiana and Cabernet Sauvignon are susceptible to this pathogen. 
## Symptoms 
 On leaf surface we will see lesions which are irregularly shaped (2 to 25 mm in diameter). 
Initially lesions are dull red to brown in color turn black later. 
If disease is severe this lesions may coalesce. 
On berries we can see symptom similar to black rot but the entire clusters will collapse. 
## Cause 
 Fungus 
## Tips 
 Fungicides sprayed for other diseases in the season may help to reduce this disease. 
","Common in tropical and subtropical grapes.
The disease appear late in the season.
Cynthiana and Cabernet Sauvignon are susceptible to this pathogen.",rady
Jamun___Rust,Jamun,Rust,"## Overview 
 The spores can be spread by wind or rain, or they can be present in infected plant debris or soil. Once the spores land on jamun, they germinate and penetrate the leaf tissue, where they form yellow-orange powdery spots on the upper surface of the leaves.
## Symptoms 
 * Yellow-orange powdery spots on the upper surface of the leaves.
 * Premature dropping of leaves.
 * Defoliation, which can lead to reduced growth and yield.
 * Thin, spindly branches due to reduced photosynthesis.
## Cause 
 Fungal pathogen( Hemileia vastatrix )
## Tips 
 *	Fungicides can be used to control rust disease in plants. It is important to choose the right fungicide for the specific type of rust disease and to follow the instructions carefully.
 *	Cultural practices such as crop rotation, proper spacing, and good sanitation practices can help to reduce the incidence of rust disease in plants.
 *	Proper management of environmental factors such as temperature, humidity, and irrigation can help to prevent the development and spread of rust disease in plants.
 
",The spores can be spread by wind or rain, or they can be present in infected plant debris or soil. ,rady
Jatropha___Die Back,Jatropha,Die Back,"## Overview 
 Unopened buds and flowers are affected which causes their shedding.
## Symptoms 
 *	Die back phase: The plant begins to die backward from the top of a branch.
 *	Young shoots, leaves, and fruits are readily attached, while they are still tender. The greenish color of the growing tip is changed to dark brown and later to black necrotic areas extending backward.
 *	The fungus develops from the infected twigs and then petiole and young leaves which may drop down or fall leaving the dried twigs without leaves.
 *	Fruit and leaf infection phase: Fruit and leaf infection is generally seen during rainy season crops. Pin-head spots are first seen on unripe fruits, which gradually enlarge.
 *	Spots are dark brown in color, sunken, circular, and have minute black stromata in the center of the lesion, which produce creamy spore masses in moist weather.
 *	Several spots coalesce to form bigger lesions.
 *	The infected area on unripe fruits becomes corky and hardy and often develops cracks in case of severe infection.
 *	Unopened buds and flowers are also affected which causes their shedding.
 *	On leaves, the fungus causes necrotic lesions usually ashy grey, and bear fruiting bodies at the tip or on the margin.

## Cause
 Fungus Botryosphaeriaceae
## Tips
 *	Mark diseased wood and remove branches or entire vines.
 *	Prune later in the dormant period to avoid the peak of spore production.
 *	Extra irrigation may help manage symptom severity but avoid overhead irrigation.
",Unopened buds and flowers are also affected which causes their shedding.,rady
Lemon___Leaf Curl,Lemon,Leaf Curl,"## Overview 
 Leaf curl disease of Arjun plant is a viral disease that affects the leaves of lemon.
## Symptoms 
 *	Curling and crinkling of leaves, which may also become thickened and have a leathery texture.
 *	The leaves may also show discoloration, with yellow or white patches appearing on the upper surface of the leaves.
 *	In severe cases, the leaves may become distorted and stunted, and the growth of the plant may be affected.
## Cause 
 Begomovirus
## Tips 
 The use of insecticides to control whiteflies, which are the vectors of the virus. However, it is important to use these chemicals judiciously and in a manner that minimizes harm to the environment.
",Curling and crinkling of leaves. ,rady
Mango___Anthracnose,Mango,Anthracnose,"## Overview 
 The fungus attacks the young leaves, inflorescence, twigs, and the fruits and the symptoms vary according to the plant parts infected. When the young leaves and inflorescence are infected, small blister-like spots develop on them. On twigs and floral axis the symptoms appear as black necrotic patches; the disease spreads rapidly during the rainy season and covers the twigs and floral axis causing them to turn black and become dry.
When the fruits are attacked, black spots are formed on them and their skin becomes discoloured. The fruit pulp beneath the spot becomes hard. The infected fruit-skin later cracks and the adjacent area decays at ripening. Infected fruits and leaves may fall off the tree prematurely.
  
## Symptoms 
 The disease causes serious losses to young shoots, flowers and fruits It is also affects fruits during storage.
The disease produces leaf spot, blossom blight, wither tip, twig blight and fruit rot symptoms. Tender shoots and foliage are easily affected which ultimately cause „die back‟ of young branches. Older twigs may also be infected through wounds which in severe cases may be fatal.
Depending on the prevailing weather conditions blossom blight may vary in severity from slight to a heavy infection of the panicles. Black spots develop on panicles as well as on fruits. Severe infection destroys the entire inflorescence resulting in no setting of fruits. Young infected fruits develop black spots, shrivel and drop off.
Fruits infected at mature stage carry the fungus into storage and cause considerable loss during storage, transit and marketing. 
## Cause 
 Fungus ( Colletotrichum gloeosporioides ) 
## Tips 
 Seed treatment with BIODISTINCTION XTRA helps to control seed coat infections.
Fungicides should be mixed with INTEGRA 3ml/20l, which improves the efficacy of the fungicide by acting as a sticker, spreader, wetter and penetrant.
Alternating different fungicides throughout a plant’s season prevents the fungus from developing resistance over any of the fungicides.
Proper fertilization and watering during summer must be done to maintain tree vigour, which is important for keeping the infection of twigs away.
Tree sanitation is essential. Diseased twigs should be pruned and burnt along with fallen leaves.
Pruning should be followed by spraying of suitable fungicides such as Bordeaux mixture (6:6: 50), 0.15% Cuprocide, Fytolan or Blitox-50, etc., which proves effective. Four to five sprayings between January to July give satisfactory control to the disease. A combination of Captan with Zineb for spraying the trees has been reported very effective. Prakash and Mishra have reported in 2001 that spraying of Bavistin (0.1%) at fortnight interval is quite effective against mango anthracnose.
Post-harvest fruit treatment in hot water at 51°C for 15 minutes is required to control fruit-rot. 
","The fungus attacks the young leaves, inflorescence, twigs, and the fruits and the symptoms vary according to the plant parts infected. When the young leaves and inflorescence are infected, small blister-like spots develop on them. On twigs and floral axis the symptoms appear as black necrotic patches; the disease spreads rapidly during the rainy season and covers the twigs and floral axis causing them to turn black and become dry.
When the fruits are attacked, black spots are formed on them and their skin becomes discoloured. The fruit pulp beneath the spot becomes hard. The infected fruit-skin later cracks and the adjacent area decays at ripening. Infected fruits and leaves may fall off the tree prematurely.
 ",rady
