id,النبات,المرض,الأعراض,السبب,المنشأ,العلاج,Code
Corn_(maize)___Common_rust_,الذرة,الصدأ الشائع على الذُرة,,فطرْ Puccinia sorghi,"ينتشر المرض عن طريق بذور تحملها الرياح.
وتعد بعض أصناف ذرة الحلوى المزروعة المشهورة بدون مقاومة كافية أو لا تمتلك مقاومة على الإطلاق للمرض.","• تعد زراعة الهجينات المقاومة أكثر الطرق فعالية للسيطرة على المرض.
• يمكن أن يوفر تطبيق المبيدات الفطرية المناسبة درجة معينة من السيطرة وتهميش شدة المرض.
• تكون المبيدات الفطرية أكثر فعالية عند انخفاض كمية العامل الفطري الثانوي ، أو عندما تكون النباتات تحتوي على عدد قليل من بثور الصدأ في الورقة بشكل عام.",
Corn_(maize)___Northern_Leaf_Blight,الذرة,لفحة أوراق الذرة الشمالية,,فطرْ Exserohilum turcicum,ينتشر المرض بشكل رئيسي عن طريق رذاذ المطر والرياح.,"• اتبع التحريج السليم لتقليل العامل الفطري من بقايا المحصول.
• اتبع دورة الزراعة مع المحاصيل غير المضيفة.
• ازرع الأصناف المقاومة المتاحة.
• استخدم مبيد فطري مناسب في حالات الإصابة الشديدة بالمرض.",
Cotton___Aphids,القطن,آفة المَنْ,,"أنواع الخنافس الشائكة (بما في ذلك خنفسة القطن Aphis gossypii ، وخنفسة البقول Aphis craccivora)","يبدأ المرض عندما يصيب خنافس القطن (Aphis gossypii و Aphis craccivora) نباتات القطن ويبدأون في التغذية على العصارة الخاصة بالأوراق. وبينما تتغذى الخنافس على النبات، تفرز مادة لزجة تسمى العسل النحلي، والتي يمكن أن تجذب آفات أخرى وأمراض فطرية، بما في ذلك العفن الأسود. كما يمكن أن يغطي العسل النحلي الأوراق، مما يقلل من قدرتها على البناء الضوئي ويؤدي إلى تقليل نمو النبات والحصاد.","• يُرجَى الرجوع إلى استراتيجيات إدارة مقاومة المبيدات الحشرية المُعْتَمَدَة من الصناعة؛ لأنه من المهم عدم الاعتماد على المبيدات الحشرية وحدها.
• ينبغي مراقبة مستويات الخنافس الشائكة بشكل أسبوعي على الأقل، ابتداءً من ظهور الشتلات حتى التصفيح.
• سيساعد التحكم في نباتات البراسيكا الضارة والمضيفين الآخرين مثل الخبز العربي والقرطم والشوك خلال فترة الانتقال بين المواسم على تقليل ضغط الخنافس الشائكة.
• تتراكم أعداد الخنافس الشائكة في القطن بسرعة مع زيادة درجات الحرارة في الربيع. وفي هذا الوقت، يمكن للحشرات المفيدة أن تلعب دورًا مهمًا جدًا في قَمْع أعداد الخنافس الشائكة، لذا يتعين مراعاة أعدادها أيضًا عند تقييم عتبات رش الخنافس الشائكة.
• بالإضافة إلى عدد الحشرات المفيدة، يتعين مراعاة ظروف النمو الحالية. إذا كانت المحاصيل لديها ظروف نمو جيدة في وقت الإصابة (أي التربة رطبة بشكل جيد)، فهي أكثر قدرة على التعويض عن الضرر الذي تسببه الخنافس الشائكة بالمقارنة مع النباتات التي تعاني من نقص في الرطوبة.",
Cotton___Bacterial blight,القطن,اللفحة البكتيرية,"البقع المشبعة بالماء: تبدأ أعراض المرض بظهور بقع صغيرة مشبعة بالماء على الأوراق والسيقان ولوز القطن.
توسع البقع: مع تقدم المرض ، تتوسع البقع وتصبح ذات شكلٍ زاوٍ مع وجود هالة صفراء حولها.
تساقط الأوراق: قد تتسبب الأوراق المصابة في تساقطها مبكرًا ، مما يؤدي إلى تساقط الأوراق الكاملة للنبات.
تقليل الإنتاج: في الحالات المتدهورة، يمكن أن يؤدي البرق البكتيري إلى خسائر كبيرة في الإنتاج وتقليل جودة الألياف.
تلف الأفرع: يمكن أن يتسبب المرض أيضًا في تلف الأفرع وتحول الساق إلى اللون الأسود.
ذبول النباتات: قد تتعرض النباتات المصابة للذبول والموت مبكرًا.",باكتيريا الXanthomonas,"ينشأ مرض البرق البكتيري في الأوراق عندما تصيب البكتيريا Xanthomonas campestris pv. malvacearum نباتات القطن من خلال الفتحات الطبيعية أو الجروح على الأوراق. يمكن للبكتيريا البقاء على قيد الحياة في بقايا النباتات والتربة لعدة سنوات ويمكن نقلها من خلال البذور الملوثة أو المعدات أو المياه الملوثة. يمكن أيضًا انتشار المرض عن طريق الرياح أو الأمطار أو الحشرات.
بمجرد أن تصيب البكتيريا نبات القطن ، يمكن أن تُكَوِن بقع مشبعة بالماء تتحول لونها لاحقًا إلى اللون البني أو الأسود. يمكن أن تنتشر البقع بسرعة ، مما يؤدي إلى تساقط الأوراق الكاملة للنبات وتقليل الإنتاج. يمكن أن تعزز الظروف الدافئة والرطبة انتشار المرض.","•يجب إزالة بقايا النباتات المصابة وحرقها. 
• تساعد الحِرَاثة العميقة بعد الحصاد على تقليل حدوث المرض.
• يساعد التناوب بين المحاصيل والزراعة المتأخرة والتقليم المبكر والحِرَاثة الجيدة والرَّي المبكر وإضافة البوتاسيوم إلى التربة على تقليل حدوث المرض.
•تُعد معالجة البذور وسيلة فعالة للسيطرة على المرض لأن البكتيريا تستوطن البذور داخليًا أو خارجيًا.
•يمكن تدمير البكتيريا التي تحدث خارجيًا على البذور عن طريق غمر البذور في حمض الكبريتيك لمدة 10-15 دقيقة ، ثم شطفها جيدًا بوضعها في الماء لإزالة الحمض ، وتجفيفها ، ومعالجتها أخيرًا باستخدام Agrosan GN، Ceresan، إلخ. ينصح باستخدام المضادات الحيوية لإزالة البكتيريا التي توجد داخل البذور. يمكن غمر البذور طوال الليل في 1000 جزء في المليون من الستريبتوميسين لهذا الغرض.
استخدام الأصناف المقاومة هو أفضل وأكثر تدابير السيطرة فعالية. ومن بينها - HC 9 و BJA 592 و Reba-B 50 و Badnawar-I و K-4005 و DHY 286 و Khandawa-2 و 70 IH- 480/3، وما إلى ذلك.",
Cotton___Powdery mildew,القطن,البياض الدقيقي,"البقع البيضاء المسحوقة: تبدأ الإصابة عادة بظهور بقع بيضاء صغيرة ومسحوقة على الأوراق والسيقان ولوز القطن.
انحراف الأوراق: قد تصبح الأوراق المصابة مشوهة أو ملتوية مع تقدم المرض.
النمو المتعثر: قد تظهر على النباتات المصابة بالقطن النمو المتعثر والحيوية المنخفضة.
تقليل الإنتاج: في الحالات الشديدة ، يمكن أن يؤدي العفن البودري إلى تقليل كمية وجَوْدة محصول القطن بشكل كبير.
تساقط الأوراق المبكر: قد تتسبب الأوراق المصابة في تساقطها مبكرًا ، مما يؤدي إلى تساقط الأوراق الكاملة للنبات.
اسوداد الساق: في بعض الحالات ، قد تصبح ساق النبات المصابة حمراء أو سوداء.",,"تبدو النباتات المصابة بمرض البياض الدقيقي وكأنها رشت بالطحين.
يبدأ المرض عادة كبقع بيضاء دائرية مسحوقية، والتي يمكن أن تظهر على الأوراق والسيقان وأحياناً على الثمار.
عادةً يغطي المرض الجزء العلوي من الأوراق ولكنه قد ينمو أيضاً على الجانب السفلي.
تعد الأوراق الصغيرة الأكثر عرضة للتلف. تتحول الأوراق إلى اللون الأصفر وتجف.
قد يتسبب الفطر في تشوه بعض الأوراق وتكسيرها أو تشوهها.
تنتشر البقع البيضاء للعفن الرمادي على معظم الأوراق أو المناطق المصابة.
كما يصاب البراعم وأطراف النمو بالتشوهات. عادةً ما تظهر هذه الأعراض في وقت متأخر من موسم النمو.",,
Cotton___Target spot,القطن,تبقع هدف الرماية,,,"يؤثر المرض بشكل رئيسي على الأوراق القديمة للنباتات الناضجة. ستظهر على هذه الأوراق لويحات حمراء أثناء مراحل العدوى المبكرة. كما يتقدم المرض، تتوسع اللويحات وتتحول إلى اللون الأبيض إلى اللون البني الفاتح أو الرمادي في الوسط مع حافة بلون بنفسجي أو بني داكن أو أسود. تكون اللويحات دائرية أو غير منتظمة الشكل وتختلف في الحجم تبعًا لوقت العدوى. يحدث تركيز دائري للبقع، وتتناوب حوافها باللون البني الداكن والفاتح أو الأحمر. تصبح الأوراق المصابة بالنهاية شاحبة اللون وتتساقط أخيرًا.",,
Guava___Die Back,الجوافة,الموت الرجعى,,,,,
Grape___Black_rot,عنب,العَفَن الأسود,,,يفضل المرض الطقس الممطر؛ وقد تتسرب البذور أثناء الأمطار.,,
Grape___Esca_(Black_Measles),عنب,الحصبة السوداء,,,"قد تظهر أعراض الأوراق والثمار معًا في قصب واحد أو قد تظهر الأعراض على جزء واحد فقط.
تؤدي الإصابة الشديدة بمرض الحصبة إلى موت الكرمة في عام واحد فقط، وهذا ما يسمى بشلل الكرم.
تكون الأعراض شائعة في الكروم التي تبلغ 5 إلى 7 سنوات من العمر.
يساعد تقليم الأغصان في دخول المسببات الفطرية وتأسيسها.",,
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),عنب,لفحة الأوراق,,,"يشيع هذا المرض في العنب الاستوائي والشبه استوائي.
يظهر المرض في وقت متأخر من الموسم.
تكون أصناف السينثيانا والكابيرنيه سوفينيون معرضة لهذا المسبب الفطري.",,
Jamun___Rust,,,,,,,
Jatropha___Die Back,,,,,,,
Lemon___Leaf Curl,ليمون,,,,,,
Mango___Anthracnose,مانجو,الأنثراكنوز,,,"يهاجم الفطر الأوراق الصغيرة والزهور والأغصان والثمار وتختلف الأعراض وفقًا للأجزاء المصابة بالنبات. عندما تُصاب الأوراق الصغيرة والزهور ، تتطور بقع صغيرة تشبه الفقاعات عليها على الأغصان ومحور الزهرة . تظهر الأعراض على شكل بقع نخرية سوداء ؛ ينتشر المرض بسرعة خلال موسم الأمطار ويغطي الأغصان ومحور الزهرة مما يتسبب في تحولها إلى اللون الأسود وجفافها.
عندما يتعرض الثمر للهجوم ، يتكون عليه بقع سوداء ويصبح لون بشرته مغايرًا. تصبح لب الثمرة تحت البقعة صلبة. في وقت لاحق ، يتشقق جلد الثمرة المصاب ويتعفن المنطقة المجاورة عند التمام. قد تسقط الثمار والأوراق المصابة من الشجرة مبكرًا.",,
Mango___Bacterial Canker,مانجو,التقرح البكتيرى,,,"يسبب المرض سلالة من بكتيريا Xanthomonas citri. 
يمكن للبكتيريا البقاء حية لمدة تصل إلى 8 أشهر في الأنسجة الحية. يصيب الأشجار من خلال الجروح والفتحات الطبيعية. يمكن للمسببات الفطرية الانتقال من شجرة إلى أخرى أو بين الحقول عن طريق الأمطار المحركة بالرياح أو من خلال الأدوات المستخدمة في أنشطة الإدارة مثل التقليم. بدلاً من ذلك، يتم الانتشار عن طريق المواد النباتية المصابة أو من خلال الاتصال في حالة الثمار. أفضل درجة حرارة للإصابة بالبقعة السوداء البكتيرية تتراوح بين 25 و 30 درجة مئوية. تزيد الرطوبة العالية أيضًا من احتمالية الإصابة. يمكن للحواجز الريحية أو زراعة أنواع الأشجار ذات الأوراق الكثيفة حول البستان تقليل انتشار المرض.",,
Mango___Cutting Weevil,مانجو,سوسة عجمة المانجو,,,"يكون شكل الخنفساء البزَّة المانجو البالغة بيضوياً وتمتلك رأسًا مطولًا يشكل خرطومًا. تضع الإناث البيض بلون أبيض كريمي بصورة فردية على الثمار المانجو نصف الناضجة (الخضراء) إلى الناضجة. يتميز نقطة الثقب بشق في قشرة الثمرة مع إفراز بني فاتح. بعد 5-7 أيام، يفقس اليرقات طولها 1 ملم وتحفر في اللحم للوصول إلى بذرة المانجو. عادةً ما يتم العثور على يرقة واحدة تتغذى على كل حجرة، وفي بعض الحالات النادرة، تتغذى وتتحول اليرقة داخل اللب. يخرج الكائن البالغ عادة بعد سقوط الثمار ويخضع لفترة من التوقف عن النمو حتى تظهر ثمار جديدة على الأشجار. عندما تصل المانجو إلى حجم البازلاء، تصبح الكائنات البالغة نشطة مرة أخرى وتبدأ في التغذية على الأوراق والتزاوج. يحدث انتشار الحشرات على مدى بعيد عن طريق نقل الفواكه والبذور والشتلات و / أو الأعمدة التي تحتوي على يرقات أو يرقات متحولة أو بالغة.",,
Mango___Die Back,مانجو,الموت الرجعى,,,تستطيع Botryosphaeria rhodina البقاء على قيد الحياة في الأنسجة النخرية للنبات لفترات طويلة. يغزو النظام الوعائي لأشجار المانجو من خلال الجروح في الجذع والفروع. لم يتم فهم الآلية الدقيقة للعدوى بشكل كامل. يُعتقد أن مواقع الدخول المحتملة هي الجروح التي يتسبب بها الحشرات (الخنافس) أو الإصابات الميكانيكية التي تحدث خلال العمل في الحقل. قد يكون مصدر العدوى الأساسي هو البذور في اللحاء الميت للأغصان. تبقى على الأشجار خلال فصل النمو وتنتشر خلال فترة الحصاد. يمكن أن تشجع نقص الحديد والزنك والمنجنيز اندلاع المرض. تم ربط المرض أيضًا بالتوتر المائي والتجمد. يمكن أن يحدث المرض في أي وقت من العام لكنه يكون أكثر وضوحًا خلال مراحل النمو المتأخرة.,,
Mango___Gall Midge,مانجو,ذُبابة العَفْص,,,"تتسبب الأعراض في أنواع مختلفة من الذباب الصغير Procontarinia sp. حيث يبلغ حجم الذباب الصغير البالغ حوالي 1-2 مم ويموتون في غضون 24 ساعة من الظهور بعد الجماع ووضع البيض. يتم وضع البيض على جميع أجزاء الشجرة تقريبًا ، ولكنها توجد بشكل أساسي على الأوراق. عندما يفقس البيض ، تخترق اليرقات الأنسجة وتتسبب في الضرر اعتمادًا على العضو الذي يتأثر به اليرقات. يمكن أن تتسبب الأجزاء الزهرية التي تتغذى عليها في الجفاف والسقوط إلى الأرض بسبب التغذية الواسعة النطاق. تهاجر اليرقات الناضجة أو تسقط على الطبقات العليا من التربة ، حيث تدخل مرحلة الشرنقة. يحدث ظهور الذباب الصغير البالغ عادة في فترة ما بعد الظهر ويتم تفضيله في درجات حرارة منخفضة (20 درجة مئوية) ورطوبة نسبية تتراوح بين 60-82٪. يمكن أن يكون هناك حتى 3-4 أجيال من الآفات خلال فترة من يناير إلى مارس في نصف الكرة الشمالي.",,
Mango___Powdery Mildew,مانجو,البياض الدقيقي,,,"يبقى Oidium mangiferae على قيد الحياة من موسم إلى آخر كمايسيليوم في البراعم الخاملة وكهاوستوريا على الأوراق المصابة القديمة.
بعد الهبوط على أنسجة النبات ، يفقس جسيم العدوى لـ O. mangiferae ، يدخل الفتحة / المسام ثم ينمو. بعد أسبوعين أو ثلاثة أسابيع ، تنمو الأجسام المثمرة من الفتحات وتطلق جسيمات العدوى في الهواء لتنقل إلى النباتات الأخرى أو أجزاء النبات.
عادة ما يستغرق حوالي 7-10 أيام من وقت العدوى لظهور الأعراض.
تنتشر المرض بواسطة جسيمات العدوى المنقولة بالرياح من أشجار المانجو الأخرى أو من داخل غطاء الشجرة المصابة.
يتم تشجيع العدوى الأولية بـ O. mangiferae بواسطة درجات حرارة دافئة ورطوبة نسبية معتدلة ، على الرغم من أن تطور المرض يفضل الظروف الباردة والجافة.
يبقى الفطر تحت الأوراق الكثيفة خلال فترة الخمول.",,
Mango___Sooty Mould,مانجو,العفن السخامي,,,"تنتج الفطريات جزئيات فطرية تسمى ""الهيفة"" والتي تكون سطحية وداكنة اللون. ينمو الفطر على الإفرازات السكرية لحشرات النبات. يتشكل ترسب أسود يؤثر على النشاط الضوئي.
ينمو الفطر على سطح الورقة على المواد السكرية التي تفرزها حشرات الجاسيد والأفيديات وحشرات الحجم.
",,
Orange___Haunglongbing_(Citrus_greening),برتقال,اخضرار الحمضيات,,,"يعد ذلك المرض من الأمراض المعقدة
هناك سلالات متعددة ومضيفين متنوعين وعدة نواقل حشرية وظروف بيئية مختلفة تؤثر على تعبير وانتشار المرض. تعرف ثلاثة أشكال من المرض (الآسيوي والأفريقي والأمريكي)، وترتبط هذه بأنواع وسلالات مختلفة من Liberibactors التي تنتشر عن طريق أنواع مختلفة من نواقل الحشرات المتعلقة بالحمضيات. المسبب الحالي للمرض في الولايات المتحدة هو Candidatus Liberibacter asiaticus. 
تعد معظم أنواع الحمضيات والأصناف والهجائيات معرضة للإصابة بالمرض. 
تشمل النواقل لـ Liberibacters حشرات الحمضيات Diaphorina citri و Trioza erytreae.
 يمكن أيضًا نشر المرض بواسطة تطعيم الزرع. يمكن أن يحدث الانتقال في مشتل الأشجار المثمرة وفي الحقول. تم تحديد المضيفين غير الحمضيات كمضيفين بديلين لـ Liberibacters ونواقل الحمضيات، لكن دورهم لا يزال غير واضح في وبائية المرض.",,
Peach___Bacterial_spot,خوخ,التبقع البكتيري,,,"تزيد فرص إصابة الفاكهة والأوراق خلال فترات الأمطار المتكررة في فترة الإزهار المتأخرة والتساقط المبكر للأزهار.
يندر حدوث العدوى خلال الطقس الحار والجاف.",,
"Pepper,_bell___Bacterial_spot",فلفل,التبقع البكتيري,,,"يسهل ظهور المرض في الظروف الدافئة والرطبة. يمكن للمسبب الفطري الدخول إلى الحقل على البذور والشتلات، ويمكن نشره داخل الحقل بواسطة الرياح والأمطار الدافئة، وقص النباتات، والرذاذات المحمولة بالهواء.",,
Pomegranate___Powdery_mildew,الرمان,البياض الدقيقي,,,,,
PongamiaPinnata___mosaic_virus,بونغاميا ريشية,فيروس تبرقش (موزاييك),,,,,
Potato___Early_blight,بطاطس,اللفحة المبكرة,,,يفضل ظهور المرض دورات من الظروف الرطبة والجافة مع فترات من الرطوبة العالية وتبلل الأوراق.,,
Potato___Late_blight,بطاطس,اللفحة المتأخرة,,,"يمكن للمسبب الفطري البقاء على قيد الحياة لعدة أشهر إلى سنوات في التربة.
تحفز الظروف الرطبة والباردة ظهور المرض.
تعد الدرنات المصابة السبب الرئيسي لانتشار المرض.",,
rice___BrownSpot,الأرز,التبقع البني,,,"ينشأ المرض عندما تتلامس بذور مسبب الفطريات Bipolaris oryzae مع نبات الأرز.
يمكن نشر البذور بواسطة الرياح أو المطر، أو يمكن أن تكون موجودة في بقايا النباتات المصابة أو التربة الملوثة. بمجرد وصول البذور على نبات الأرز، تتفجر وتخترق أنسجة الورقة، حيث تشكل بقع صغيرة بيضاوية إلى دائرية بنية أو رمادية اللون يمكن أن تتسع مع مرور الوقت.",,
rice___Hispa,الأرز,خنافس هيسبا,,,"يبدأ مرض الأرز هيسبا عندما تتغذى خنفسة الأرز هيسبا (Dicladispa armigera) على أوراق وسيقان نباتات الأرز، مما يتسبب في تلف أنسجة النبات.
تكون الخنافس الأكثر نشاطًا خلال مراحل نمو وتطور الأرز الأولى، ويترافق نشاطها غالبًا مع بداية موسم الرياح الموسمية (الموسم المناخي الموسمي).",,
rice___LeafBlast,الأرز,لفحة الأرز,,,"ينشأ مرض لفحة أوراق الأرز عندما تتلامس بذور مسبب الفطريات Magnaporthe oryzae مع نبات الأرز.
يمكن نشر البذور بواسطة الرياح أو المطر، أو يمكن أن تكون موجودة في بقايا النباتات المصابة أو التربة الملوثة. بمجرد وصول البذور على نبات الأرز، تتفجر وتخترق أنسجة الورقة، حيث تشكل بقع دائرية صغيرة يمكن أن تتسع مع مرور الوقت.",,
Squash___Powdery_mildew,قرع,البياض الدقيقي,,,يحفزالطقس الجاف والرطوبة النسبية العالية ظهور المرض.,,
Strawberry___Leaf_scorch,فراولة,التبقع الزاوى,,,يفضل ظهور المرض التبلل المطول للأوراق بالماء.,,
Tomato___Bacterial_spot,طماطم,التبقع البكتيري,,,"تبقى البكتيريا على بقايا المحاصيل.
يفضل ظهور المرض الحرارة العالية والطقس الرطب.
تتشابه الأعراض كثيرًا مع أمراض الطماطم الأخرى ولكن ستتسبب بقع البكتيريا فقط في تسريب إفرازات البكتيريا عند قطع الورقة.
يتم نشر المرض عن طريق البذور المصابة والأمطار الدافئة ، والشتلات المصابة أو التربة الملوثة.
يدخل البكتيريا إلى النبات من خلال أي فتحات طبيعية على الأوراق أو أي فتحات ناتجة عن إصابة الأوراق.",,
Tomato___Early_blight,طماطم,اللفحة المبكرة,,,"يمكن أن ينتشر المرض بسرعة بعد إنتاج الفاكهة.
تعد حركة البذور المحمولة بالهواء والاتصال بالتربة الملوثة سبب انتشار المرض.",,
Tomato___Leaf_Mold,طماطم,تعفن أوراق الطماطم,,,"• تحفز الرطوبة العالية نسبياً ظهور المرض.
• مرض شائع في محاصيل الطماطم في البيوت الزجاجية.",,
Tomato___Late_blight,طماطم,اللفحة المتأخرة,,,يمكن أن يدمر محاصيل الطماطم تمامًا.,,
Tomato___Septoria_leaf_spot,طماطم,التبقع السبتوري,,,"• ينتشر بواسطة رذاذ الماء.
• يتجدد الفطر في بقايا النباتات خلال فصل الشتاء.",,
Tomato___Spider_mites_Two-spotted_spider_mite,طماطم,عث العنكبوت,,,"تزدهر العناكب الزاحفة في الظروف الغبارية.
النباتات التي تعاني من نقص في الماء أكثر عُرضة للهجوم.",,
Tomato___Target_Spot,طماطم,تبقع هدف الرماية,,,"المسبب الفطري يصيب الخيار، البابايا، النباتات الزينية، بعض أنواع الأعشاب، وما إلى ذلك.
تكون الثمار التالفة عُرضة لهذا المرض.",,
Tomato___Tomato_Yellow_Leaf_Curl_Virus,طماطم,فيروس تجعد واصفرار أوراق الطماطم,,,"يتم نقل الفيروس عن طريق الذباب الأبيض ويمكن أن يتسبب في فقدان 100٪ من الإنتاج إذا تمت إصابة النباتات في مرحلة مبكرة من النمو.
يصيب الفيروس أيضًا مضيفات أخرى مثل الفاصوليا العادية، والنباتات الزينية، والعديد من أنواع الأعشاب.",,
